uid,count,oneMeans,bestMeans,diff,logCount
1,171,0.666666666666667,0.666666666666667,0,5.14749447681345
2,45,0.666666666666667,0.833333333333333,0.166666666666667,3.8286413964891
4,45,0.4,0.4,0,3.8286413964891
5,48,0.888888888888889,0.888888888888889,0,3.89182029811063
6,41,0,0,0,3.73766961828337
7,29,1,1,0,3.40119738166216
11,43,0.6,0.6,0,3.78418963391826
19,38,1,1,0,3.66356164612965
24,68,0.571428571428571,0.571428571428571,0,4.23410650459726
25,30,1,1,0,3.43398720448515
26,26,1,1,0,3.29583686600433
27,17,0.5,0.5,0,2.89037175789616
28,9,1,1,0,2.30258509299405
31,197,0.8,0.825,0.0249999999999999,5.28826703069454
35,67,0.8,0.8,0,4.21950770517611
36,49,0.666666666666667,0.666666666666667,0,3.91202300542815
38,82,0.904761904761905,0.904761904761905,0,4.4188406077966
39,78,0.636363636363636,0.636363636363636,0,4.36944785246702
40,48,0.2,0.2,0,3.89182029811063
42,32,0.6,0.4,-0.2,3.49650756146648
48,9,1,1,0,2.30258509299405
50,39,0.5,0.5,0,3.68887945411394
55,72,1,1,0,4.29045944114839
57,28,1,1,0,3.36729582998647
58,16,1,1,0,2.83321334405622
59,59,0.636363636363636,0.727272727272727,0.0909090909090909,4.0943445622221
60,70,0.875,0.875,0,4.26267987704132
62,19,0,0,0,2.99573227355399
63,64,0.833333333333333,0.833333333333333,0,4.17438726989564
64,34,1,1,0,3.55534806148941
65,162,0.7,0.8,0.1,5.09375020080676
68,46,1,1,0,3.85014760171006
71,29,1,1,0,3.40119738166216
73,585,0.704545454545455,0.681818181818182,-0.0227272727272728,6.37331978957701
74,112,0.714285714285714,0.714285714285714,0,4.72738781871234
75,31,1,1,0,3.46573590279973
78,14,1,1,0,2.70805020110221
79,40,0.857142857142857,0.857142857142857,0,3.71357206670431
83,13,0,0,0,2.63905732961526
87,55,0.923076923076923,0.923076923076923,0,4.02535169073515
88,69,0.857142857142857,0.857142857142857,0,4.24849524204936
90,57,0,0,0,4.06044301054642
96,49,1,1,0,3.91202300542815
97,18,1,1,0,2.94443897916644
100,24,1,1,0,3.2188758248682
101,82,0.666666666666667,0.666666666666667,0,4.4188406077966
